quantization,inference_time,precision
int8,0.02011585235595703,0.0
int8,0.020159006118774414,0.0
int8,0.019978046417236328,0.21
int8,0.020025968551635742,0.0
int8,0.020292997360229492,0.0
int8,0.020034074783325195,0.08
int8,0.019883155822753906,0.0
int8,0.019797086715698242,0.13
int8,0.02000904083251953,0.0
int8,0.020374059677124023,0.0
int8,0.020067930221557617,0.0
int8,0.02002096176147461,0.02
int8,0.01983499526977539,0.01
int8,0.019702911376953125,0.03
int8,0.020389080047607422,0.01
int8,0.0200960636138916,0.0
int8,0.019798994064331055,0.01
int8,0.019943952560424805,0.0
int8,0.019798994064331055,0.0
int8,0.02025294303894043,0.0
int8,0.019813060760498047,0.0
int8,0.020511865615844727,0.07
int8,0.020328998565673828,0.0
int8,0.02027106285095215,0.05
int8,0.020038127899169922,0.0
int8,0.02041482925415039,0.11
